CKJNFLKG_00001 ko:K00041
CKJNFLKG_00002 -
CKJNFLKG_00004 ko:K00525
CKJNFLKG_00005 -
CKJNFLKG_00006 -
CKJNFLKG_00007 -
CKJNFLKG_00008 ko:K00865
CKJNFLKG_00009 -
CKJNFLKG_00010 -
CKJNFLKG_00015 ko:K04652
CKJNFLKG_00016 -
CKJNFLKG_00018 -
CKJNFLKG_00019 -
CKJNFLKG_00020 -
CKJNFLKG_00021 -
CKJNFLKG_00022 ko:K02027
CKJNFLKG_00023 ko:K02025
CKJNFLKG_00024 ko:K02026
CKJNFLKG_00025 -
CKJNFLKG_00027 -
CKJNFLKG_00031 -
CKJNFLKG_00036 -
CKJNFLKG_00037 -
CKJNFLKG_00039 -
CKJNFLKG_00040 -
CKJNFLKG_00041 -
CKJNFLKG_00042 -
CKJNFLKG_00043 -
CKJNFLKG_00044 -
CKJNFLKG_00046 -
CKJNFLKG_00047 ko:K06897
CKJNFLKG_00050 -
CKJNFLKG_00052 -
CKJNFLKG_00053 -
CKJNFLKG_00054 ko:K00046
CKJNFLKG_00056 -
CKJNFLKG_00060 -
CKJNFLKG_00061 -
CKJNFLKG_00062 -
CKJNFLKG_00063 -
CKJNFLKG_00067 -
CKJNFLKG_00068 -
CKJNFLKG_00069 -
CKJNFLKG_00070 ko:K00891
CKJNFLKG_00071 -
CKJNFLKG_00072 -
CKJNFLKG_00073 -
CKJNFLKG_00074 ko:K00820
CKJNFLKG_00075 -
CKJNFLKG_00076 ko:K03544
CKJNFLKG_00077 ko:K01759
CKJNFLKG_00078 ko:K03628
CKJNFLKG_00079 ko:K02909
CKJNFLKG_00080 -
CKJNFLKG_00081 ko:K02493
CKJNFLKG_00082 ko:K02835
CKJNFLKG_00083 -
CKJNFLKG_00084 -
CKJNFLKG_00085 -
CKJNFLKG_00086 ko:K03431
CKJNFLKG_00087 -
CKJNFLKG_00093 ko:K03665
CKJNFLKG_00095 -
CKJNFLKG_00097 ko:K01940
CKJNFLKG_00098 ko:K00145
CKJNFLKG_00099 ko:K00620
CKJNFLKG_00100 ko:K00930
CKJNFLKG_00101 ko:K00821
CKJNFLKG_00102 ko:K09936
CKJNFLKG_00103 -
CKJNFLKG_00105 -
CKJNFLKG_00106 -
CKJNFLKG_00107 -
CKJNFLKG_00108 ko:K16511
CKJNFLKG_00109 -
CKJNFLKG_00110 -
CKJNFLKG_00111 -
CKJNFLKG_00112 -
CKJNFLKG_00113 ko:K01448
CKJNFLKG_00114 ko:K07566
CKJNFLKG_00115 ko:K01808
CKJNFLKG_00116 ko:K00761
CKJNFLKG_00117 ko:K01493
CKJNFLKG_00118 ko:K01881
CKJNFLKG_00119 ko:K00974
CKJNFLKG_00120 -
CKJNFLKG_00121 ko:K01835
CKJNFLKG_00122 ko:K03530
CKJNFLKG_00123 -
CKJNFLKG_00124 -
CKJNFLKG_00125 -
CKJNFLKG_00126 -
CKJNFLKG_00127 ko:K06382
CKJNFLKG_00128 ko:K04075
CKJNFLKG_00129 ko:K00760
CKJNFLKG_00130 ko:K03798
CKJNFLKG_00131 -
CKJNFLKG_00132 -
CKJNFLKG_00150 -
CKJNFLKG_00151 -
CKJNFLKG_00152 -
CKJNFLKG_00153 -
CKJNFLKG_00154 -
CKJNFLKG_00155 -
CKJNFLKG_00156 -
CKJNFLKG_00157 -
CKJNFLKG_00158 -
CKJNFLKG_00159 -
CKJNFLKG_00160 -
CKJNFLKG_00162 -
CKJNFLKG_00163 ko:K01265
CKJNFLKG_00165 -
CKJNFLKG_00166 -
CKJNFLKG_00167 -
CKJNFLKG_00168 ko:K00602
CKJNFLKG_00169 -
CKJNFLKG_00172 -
CKJNFLKG_00173 ko:K03340
CKJNFLKG_00174 -
CKJNFLKG_00175 -
CKJNFLKG_00178 ko:K00764
CKJNFLKG_00179 -
CKJNFLKG_00180 ko:K01142
CKJNFLKG_00182 -
CKJNFLKG_00184 ko:K07098
CKJNFLKG_00185 ko:K02346
CKJNFLKG_00186 -
CKJNFLKG_00187 -
CKJNFLKG_00190 ko:K03816
CKJNFLKG_00191 -
CKJNFLKG_00192 ko:K21600
CKJNFLKG_00193 -
CKJNFLKG_00194 -
CKJNFLKG_00195 -
CKJNFLKG_00197 ko:K09022
CKJNFLKG_00198 -
CKJNFLKG_00199 ko:K06987
CKJNFLKG_00200 ko:K02033
CKJNFLKG_00201 ko:K02034
CKJNFLKG_00202 ko:K02035
CKJNFLKG_00203 -
CKJNFLKG_00204 -
CKJNFLKG_00205 -
CKJNFLKG_00206 -
CKJNFLKG_00207 ko:K01952
CKJNFLKG_00215 -
CKJNFLKG_00223 ko:K02035
CKJNFLKG_00224 ko:K02033
CKJNFLKG_00225 ko:K02034
CKJNFLKG_00226 ko:K02031
CKJNFLKG_00227 -
CKJNFLKG_00228 -
CKJNFLKG_00229 ko:K21600
CKJNFLKG_00231 -
CKJNFLKG_00233 -
CKJNFLKG_00234 -
CKJNFLKG_00235 -
CKJNFLKG_00236 -
CKJNFLKG_00237 -
CKJNFLKG_00238 -
CKJNFLKG_00239 ko:K03451
CKJNFLKG_00247 -
CKJNFLKG_00251 ko:K02015
CKJNFLKG_00252 -
CKJNFLKG_00254 -
CKJNFLKG_00260 ko:K03826
CKJNFLKG_00261 -
CKJNFLKG_00263 -
CKJNFLKG_00265 -
CKJNFLKG_00266 -
CKJNFLKG_00267 -
CKJNFLKG_00268 -
CKJNFLKG_00270 -
CKJNFLKG_00271 -
CKJNFLKG_00272 -
CKJNFLKG_00274 ko:K21600
CKJNFLKG_00275 ko:K17686
CKJNFLKG_00276 ko:K01770
CKJNFLKG_00277 -
CKJNFLKG_00278 ko:K00262
CKJNFLKG_00279 -
CKJNFLKG_00281 ko:K00640
CKJNFLKG_00282 ko:K01883
CKJNFLKG_00283 ko:K11145
CKJNFLKG_00284 ko:K03218
CKJNFLKG_00285 ko:K03091
CKJNFLKG_00292 ko:K03699
CKJNFLKG_00298 -
CKJNFLKG_00299 -
CKJNFLKG_00335 -
CKJNFLKG_00343 -
CKJNFLKG_00345 -
CKJNFLKG_00347 -
CKJNFLKG_00348 -
CKJNFLKG_00350 -
CKJNFLKG_00351 -
CKJNFLKG_00352 -
CKJNFLKG_00353 -
CKJNFLKG_00354 -
CKJNFLKG_00355 -
CKJNFLKG_00356 -
CKJNFLKG_00357 -
CKJNFLKG_00358 -
CKJNFLKG_00359 -
CKJNFLKG_00360 -
CKJNFLKG_00361 -
CKJNFLKG_00362 ko:K07141
CKJNFLKG_00365 ko:K07173
CKJNFLKG_00366 -
CKJNFLKG_00367 -
CKJNFLKG_00368 -
CKJNFLKG_00369 ko:K02025
CKJNFLKG_00370 -
CKJNFLKG_00371 -
CKJNFLKG_00372 -
CKJNFLKG_00375 ko:K01867
CKJNFLKG_00376 -
CKJNFLKG_00378 ko:K06180
CKJNFLKG_00379 -
CKJNFLKG_00380 ko:K11071
CKJNFLKG_00381 ko:K11072
CKJNFLKG_00382 ko:K07404
CKJNFLKG_00383 ko:K03284
CKJNFLKG_00384 -
CKJNFLKG_00385 ko:K00873
CKJNFLKG_00394 -
CKJNFLKG_00395 ko:K01586
CKJNFLKG_00396 ko:K06871
CKJNFLKG_00397 ko:K07718
CKJNFLKG_00400 -
CKJNFLKG_00402 -
CKJNFLKG_00403 -
CKJNFLKG_00404 -
CKJNFLKG_00405 -
CKJNFLKG_00406 -
CKJNFLKG_00414 ko:K20487
CKJNFLKG_00415 ko:K01992
CKJNFLKG_00417 -
CKJNFLKG_00418 ko:K04771
CKJNFLKG_00419 -
CKJNFLKG_00423 -
CKJNFLKG_00426 ko:K00928
CKJNFLKG_00429 -
CKJNFLKG_00430 -
CKJNFLKG_00431 -
CKJNFLKG_00452 -
CKJNFLKG_00457 -
CKJNFLKG_00458 -
CKJNFLKG_00464 ko:K07720
CKJNFLKG_00465 -
CKJNFLKG_00466 -
CKJNFLKG_00470 ko:K07053
CKJNFLKG_00471 -
CKJNFLKG_00472 -
CKJNFLKG_00476 -
CKJNFLKG_00479 -
CKJNFLKG_00483 -
CKJNFLKG_00504 -
CKJNFLKG_00506 ko:K02470
CKJNFLKG_00507 ko:K02469
CKJNFLKG_00508 ko:K03284
CKJNFLKG_00509 -
CKJNFLKG_00510 ko:K09748
CKJNFLKG_00511 ko:K02600
CKJNFLKG_00512 ko:K07742
CKJNFLKG_00513 -
CKJNFLKG_00514 ko:K02519
CKJNFLKG_00515 ko:K02834
CKJNFLKG_00516 ko:K06881
CKJNFLKG_00517 ko:K03177
CKJNFLKG_00518 ko:K11753
CKJNFLKG_00519 ko:K03324
CKJNFLKG_00520 -
CKJNFLKG_00521 ko:K02956
CKJNFLKG_00522 ko:K00962
CKJNFLKG_00523 ko:K04068
CKJNFLKG_00524 ko:K01520
CKJNFLKG_00525 -
CKJNFLKG_00526 -
CKJNFLKG_00527 ko:K00209
CKJNFLKG_00532 -
CKJNFLKG_00533 -
CKJNFLKG_00534 ko:K01214
CKJNFLKG_00535 -
CKJNFLKG_00536 -
CKJNFLKG_00537 ko:K00648
CKJNFLKG_00538 -
CKJNFLKG_00540 -
CKJNFLKG_00541 -
CKJNFLKG_00543 -
CKJNFLKG_00544 -
CKJNFLKG_00545 -
CKJNFLKG_00547 ko:K01812
CKJNFLKG_00548 ko:K02824
CKJNFLKG_00550 -
CKJNFLKG_00551 -
CKJNFLKG_00552 -
CKJNFLKG_00554 -
CKJNFLKG_00555 -
CKJNFLKG_00556 -
CKJNFLKG_00557 ko:K01738
CKJNFLKG_00558 -
CKJNFLKG_00559 -
CKJNFLKG_00564 -
CKJNFLKG_00565 -
CKJNFLKG_00566 ko:K15533
CKJNFLKG_00567 ko:K02051
CKJNFLKG_00581 -
CKJNFLKG_00617 ko:K00651
CKJNFLKG_00621 ko:K02051
CKJNFLKG_00623 -
CKJNFLKG_00630 ko:K02051
CKJNFLKG_00631 -
CKJNFLKG_00634 -
CKJNFLKG_00635 -
CKJNFLKG_00636 ko:K00286
CKJNFLKG_00638 -
CKJNFLKG_00639 ko:K03152
CKJNFLKG_00640 ko:K03545
CKJNFLKG_00641 ko:K01358
CKJNFLKG_00642 ko:K03544
CKJNFLKG_00643 ko:K01338
CKJNFLKG_00644 ko:K03978
CKJNFLKG_00645 -
CKJNFLKG_00646 ko:K16786
CKJNFLKG_00647 ko:K16787
CKJNFLKG_00648 ko:K16785
CKJNFLKG_00649 ko:K06173
CKJNFLKG_00650 ko:K00705
CKJNFLKG_00651 -
CKJNFLKG_00652 -
CKJNFLKG_00653 -
CKJNFLKG_00654 -
CKJNFLKG_00655 ko:K03704
CKJNFLKG_00656 ko:K01465
CKJNFLKG_00657 ko:K01591
CKJNFLKG_00658 ko:K02823
CKJNFLKG_00659 ko:K17828
CKJNFLKG_00660 ko:K00762
CKJNFLKG_00661 -
CKJNFLKG_00662 -
CKJNFLKG_00663 -
CKJNFLKG_00664 ko:K07023
CKJNFLKG_00665 -
CKJNFLKG_00666 ko:K01588
CKJNFLKG_00667 ko:K01933
CKJNFLKG_00668 ko:K11175
CKJNFLKG_00669 ko:K01945
CKJNFLKG_00670 -
CKJNFLKG_00671 ko:K03696
CKJNFLKG_00672 -
CKJNFLKG_00673 ko:K04485
CKJNFLKG_00682 -
CKJNFLKG_00684 -
CKJNFLKG_00686 ko:K07009
CKJNFLKG_00687 -
CKJNFLKG_00695 -
CKJNFLKG_00696 -
CKJNFLKG_00697 ko:K00111
CKJNFLKG_00698 -
CKJNFLKG_00699 -
CKJNFLKG_00700 -
CKJNFLKG_00701 -
CKJNFLKG_00702 -
CKJNFLKG_00703 -
CKJNFLKG_00704 -
CKJNFLKG_00721 -
CKJNFLKG_00722 -
CKJNFLKG_00723 -
CKJNFLKG_00724 ko:K01734
CKJNFLKG_00725 ko:K01448
CKJNFLKG_00726 -
CKJNFLKG_00727 -
CKJNFLKG_00728 ko:K07816
CKJNFLKG_00729 -
CKJNFLKG_00730 -
CKJNFLKG_00731 -
CKJNFLKG_00732 -
CKJNFLKG_00733 -
CKJNFLKG_00736 -
CKJNFLKG_00737 -
CKJNFLKG_00738 -
CKJNFLKG_00739 -
CKJNFLKG_00753 -
CKJNFLKG_00754 -
CKJNFLKG_00757 -
CKJNFLKG_00758 ko:K13927
CKJNFLKG_00759 ko:K01910
CKJNFLKG_00760 ko:K03518,ko:K20446
CKJNFLKG_00765 -
CKJNFLKG_00766 -
CKJNFLKG_00768 ko:K01712
CKJNFLKG_00770 -
CKJNFLKG_00773 ko:K02026
CKJNFLKG_00775 ko:K20488
CKJNFLKG_00779 -
CKJNFLKG_00781 -
CKJNFLKG_00789 ko:K01745
CKJNFLKG_00790 -
CKJNFLKG_00795 -
CKJNFLKG_00803 -
CKJNFLKG_00804 -
CKJNFLKG_00805 ko:K01425
CKJNFLKG_00806 ko:K01712
CKJNFLKG_00807 ko:K01468
CKJNFLKG_00808 ko:K00603
CKJNFLKG_00809 -
CKJNFLKG_00810 ko:K01646
CKJNFLKG_00811 ko:K01644
CKJNFLKG_00812 ko:K01643
CKJNFLKG_00813 ko:K01846
CKJNFLKG_00814 -
CKJNFLKG_00815 ko:K19268
CKJNFLKG_00816 ko:K04835
CKJNFLKG_00818 ko:K01677
CKJNFLKG_00819 ko:K01678
CKJNFLKG_00820 -
CKJNFLKG_00821 -
CKJNFLKG_00822 -
CKJNFLKG_00823 -
CKJNFLKG_00824 ko:K00003
CKJNFLKG_00825 ko:K01872
CKJNFLKG_00826 -
CKJNFLKG_00827 ko:K15738
CKJNFLKG_00828 -
CKJNFLKG_00830 ko:K01338
CKJNFLKG_00831 -
CKJNFLKG_00833 -
CKJNFLKG_00835 -
CKJNFLKG_00837 ko:K02033
CKJNFLKG_00838 -
CKJNFLKG_00839 -
CKJNFLKG_00840 ko:K10823
CKJNFLKG_00843 ko:K21071
CKJNFLKG_00844 ko:K01624
CKJNFLKG_00845 ko:K03310
CKJNFLKG_00850 -
CKJNFLKG_00851 -
CKJNFLKG_00852 -
CKJNFLKG_00853 ko:K01489
CKJNFLKG_00854 ko:K01839
CKJNFLKG_00855 ko:K01488
CKJNFLKG_00857 -
CKJNFLKG_00858 -
CKJNFLKG_00859 ko:K06173
CKJNFLKG_00860 -
CKJNFLKG_00861 -
CKJNFLKG_00862 -
CKJNFLKG_00863 -
CKJNFLKG_00864 -
CKJNFLKG_00865 ko:K01886
CKJNFLKG_00866 ko:K00375
CKJNFLKG_00867 -
CKJNFLKG_00868 -
CKJNFLKG_00869 -
CKJNFLKG_00870 -
CKJNFLKG_00871 -
CKJNFLKG_00873 ko:K06287
CKJNFLKG_00874 ko:K01091
CKJNFLKG_00875 -
CKJNFLKG_00876 -
CKJNFLKG_00877 ko:K00128
CKJNFLKG_00878 -
CKJNFLKG_00881 ko:K04079
CKJNFLKG_00883 -
CKJNFLKG_00884 -
CKJNFLKG_00886 ko:K03426
CKJNFLKG_00887 -
CKJNFLKG_00888 -
CKJNFLKG_00889 -
CKJNFLKG_00890 -
CKJNFLKG_00891 ko:K06975
CKJNFLKG_00892 -
CKJNFLKG_00894 -
CKJNFLKG_00895 -
CKJNFLKG_00896 -
CKJNFLKG_00898 -
CKJNFLKG_00899 -
CKJNFLKG_00900 -
CKJNFLKG_00901 ko:K06871
CKJNFLKG_00902 ko:K12257
CKJNFLKG_00903 ko:K07462
CKJNFLKG_00904 ko:K00759
CKJNFLKG_00905 ko:K00951
CKJNFLKG_00906 -
CKJNFLKG_00907 -
CKJNFLKG_00909 ko:K01892
CKJNFLKG_00910 ko:K01876
CKJNFLKG_00911 -
CKJNFLKG_00912 -
CKJNFLKG_00913 ko:K00852
CKJNFLKG_00921 ko:K02005
CKJNFLKG_00922 -
CKJNFLKG_00923 ko:K02004
CKJNFLKG_00924 -
CKJNFLKG_00925 -
CKJNFLKG_00926 ko:K01887
CKJNFLKG_00927 -
CKJNFLKG_00929 ko:K04041
CKJNFLKG_00930 -
CKJNFLKG_00931 ko:K02967
CKJNFLKG_00932 ko:K02357
CKJNFLKG_00937 -
CKJNFLKG_00938 -
CKJNFLKG_00943 -
CKJNFLKG_00944 -
CKJNFLKG_00946 -
CKJNFLKG_00947 -
CKJNFLKG_00948 -
CKJNFLKG_00949 -
CKJNFLKG_00962 -
CKJNFLKG_00973 -
CKJNFLKG_00977 ko:K03924
CKJNFLKG_00978 -
CKJNFLKG_00981 -
CKJNFLKG_00984 -
CKJNFLKG_00985 -
CKJNFLKG_00990 ko:K03088
CKJNFLKG_00996 -
CKJNFLKG_00997 -
CKJNFLKG_00999 -
CKJNFLKG_01015 -
CKJNFLKG_01017 -
CKJNFLKG_01018 -
CKJNFLKG_01019 -
CKJNFLKG_01021 -
CKJNFLKG_01022 ko:K06940
CKJNFLKG_01023 -
CKJNFLKG_01024 ko:K18475
CKJNFLKG_01025 ko:K18475
CKJNFLKG_01026 -
CKJNFLKG_01030 -
CKJNFLKG_01031 -
CKJNFLKG_01032 -
CKJNFLKG_01033 -
CKJNFLKG_01034 ko:K06147
CKJNFLKG_01035 ko:K06147
CKJNFLKG_01040 ko:K07478
CKJNFLKG_01041 -
CKJNFLKG_01042 -
CKJNFLKG_01043 ko:K02346
CKJNFLKG_01044 -
CKJNFLKG_01047 -
CKJNFLKG_01048 -
CKJNFLKG_01049 -
CKJNFLKG_01051 ko:K04069
CKJNFLKG_01052 ko:K00656
