locus_tag	ftype	length_bp	gene	EC_number	COG	product
CKJNFLKG_00001	CDS	1338	uxaB_1	1.1.1.58	COG0246	Altronate oxidoreductase
CKJNFLKG_00002	CDS	1485	uxaA_1	4.2.1.7	COG2721	Altronate dehydratase
CKJNFLKG_00003	CDS	2487				hypothetical protein
CKJNFLKG_00004	CDS	2271				hypothetical protein
CKJNFLKG_00005	CDS	768				hypothetical protein
CKJNFLKG_00006	CDS	669				hypothetical protein
CKJNFLKG_00007	CDS	1086	cdaR_1		COG3835	Carbohydrate diacid regulator
CKJNFLKG_00008	CDS	1161	garK	2.7.1.165	COG1929	Glycerate 2-kinase
CKJNFLKG_00009	CDS	198				hypothetical protein
CKJNFLKG_00010	CDS	651				hypothetical protein
CKJNFLKG_00011	CDS	600				hypothetical protein
CKJNFLKG_00012	CDS	201				hypothetical protein
CKJNFLKG_00013	CDS	273				hypothetical protein
CKJNFLKG_00014	CDS	270				hypothetical protein
CKJNFLKG_00015	CDS	675	hypB			Hydrogenase maturation factor HypB
CKJNFLKG_00016	CDS	2688		1.18.1.2		Ferredoxin--NADP reductase
CKJNFLKG_00017	CDS	342	hybF		COG0375	Hydrogenase maturation factor HybF
CKJNFLKG_00018	CDS	1056				hypothetical protein
CKJNFLKG_00019	CDS	711				hypothetical protein
CKJNFLKG_00020	CDS	453	tabA_1		COG2731	Toxin-antitoxin biofilm protein TabA
CKJNFLKG_00021	CDS	858	rhaR_1			HTH-type transcriptional activator RhaR
CKJNFLKG_00022	CDS	1341	lacE_1			Lactose-binding protein
CKJNFLKG_00023	CDS	891	dasB		COG1175	Diacetylchitobiose uptake system permease protein DasB
CKJNFLKG_00024	CDS	834	ngcG_1		COG0395	Diacetylchitobiose uptake system permease protein NgcG
CKJNFLKG_00025	CDS	1113	yjhC	1.-.-.-	COG0673	putative oxidoreductase YjhC
CKJNFLKG_00026	CDS	2319	nanB	3.2.1.18	COG4409	Sialidase B
CKJNFLKG_00027	CDS	1353	mepA_1			Multidrug export protein MepA
CKJNFLKG_00028	CDS	1044	ccpA_1		COG1609	Catabolite control protein A
CKJNFLKG_00029	CDS	1011	iolG_1	1.1.1.18	COG0673	Myo-inositol 2-dehydrogenase
CKJNFLKG_00030	CDS	789	hyi	5.3.1.22	COG3622	Hydroxypyruvate isomerase
CKJNFLKG_00031	CDS	1359	xylP_1			Isoprimeverose transporter
CKJNFLKG_00032	CDS	423	adhR		COG0789	HTH-type transcriptional regulator AdhR
CKJNFLKG_00033	CDS	720	cmoA_1	2.1.3.-		Carboxy-S-adenosyl-L-methionine synthase
CKJNFLKG_00034	CDS	612	betI			HTH-type transcriptional regulator BetI
CKJNFLKG_00035	CDS	525				hypothetical protein
CKJNFLKG_00036	CDS	1020				hypothetical protein
CKJNFLKG_00037	CDS	1401	ppsA	2.3.1.-	COG1020	Plipastatin synthase subunit A
CKJNFLKG_00038	CDS	228	acpP_1		COG0236	Acyl carrier protein
CKJNFLKG_00039	CDS	1515	lcfB_1	6.2.1.3	COG0318	Long-chain-fatty-acid--CoA ligase
CKJNFLKG_00040	CDS	861	rhaR_2			HTH-type transcriptional activator RhaR
CKJNFLKG_00041	CDS	1794	fucI	5.3.1.25	COG2407	L-fucose isomerase
CKJNFLKG_00042	CDS	1497	rhaB_1	2.7.1.5	COG1070	L-Rhamnulokinase
CKJNFLKG_00043	CDS	684	fucA	4.1.2.17	COG0235	L-fuculose phosphate aldolase
CKJNFLKG_00044	CDS	435	fucU	5.1.3.29	COG4154	L-fucose mutarotase
CKJNFLKG_00045	CDS	477	trmO_1	2.1.1.-	COG1720	tRNA (adenine(37)-N6)-methyltransferase
CKJNFLKG_00046	CDS	864				hypothetical protein
CKJNFLKG_00047	CDS	807				hypothetical protein
CKJNFLKG_00048	CDS	426				hypothetical protein
CKJNFLKG_00049	CDS	795				hypothetical protein
CKJNFLKG_00050	CDS	2703				hypothetical protein
CKJNFLKG_00051	CDS	1944				hypothetical protein
CKJNFLKG_00052	CDS	960				hypothetical protein
CKJNFLKG_00053	CDS	1122	nanK_1	2.7.1.60		N-acetylmannosamine kinase
CKJNFLKG_00054	CDS	777	bacC	1.1.1.385		Dihydroanticapsin 7-dehydrogenase
CKJNFLKG_00055	CDS	315				hypothetical protein
CKJNFLKG_00056	CDS	189				hypothetical protein
CKJNFLKG_00057	CDS	1158	rcsC_1	2.7.13.3		Sensor histidine kinase RcsC
CKJNFLKG_00058	CDS	1278	rcsC_2	2.7.13.3		Sensor histidine kinase RcsC
CKJNFLKG_00059	CDS	327				hypothetical protein
CKJNFLKG_00060	CDS	1062				hypothetical protein
CKJNFLKG_00061	CDS	1809				hypothetical protein
CKJNFLKG_00062	CDS	1131	nanK_2	2.7.1.60		N-acetylmannosamine kinase
CKJNFLKG_00063	CDS	1026	iolM	1.1.1.-	COG1063	scyllo-inosose 3-dehydrogenase
CKJNFLKG_00064	CDS	174				hypothetical protein
CKJNFLKG_00065	CDS	741	resA			Thiol-disulfide oxidoreductase ResA
CKJNFLKG_00066	CDS	147				hypothetical protein
CKJNFLKG_00067	CDS	888				hypothetical protein
CKJNFLKG_00068	CDS	423	ywnA		COG1959	Putative HTH-type transcriptional regulator YwnA
CKJNFLKG_00069	CDS	1377	rclA		COG1249	putative pyridine nucleotide-disulfide oxidoreductase RclA
CKJNFLKG_00070	CDS	546	aroK	2.7.1.71	COG0703	Shikimate kinase
CKJNFLKG_00071	CDS	1404	wcaJ	2.7.8.31	COG2148	UDP-glucose:undecaprenyl-phosphate glucose-1-phosphate transferase
CKJNFLKG_00072	CDS	1530	tagU_1	2.7.8.-		Polyisoprenyl-teichoic acid--peptidoglycan teichoic acid transferase TagU
CKJNFLKG_00073	CDS	927				hypothetical protein
CKJNFLKG_00074	CDS	1827	glmS_1	2.6.1.16	COG0449	Glutamine--fructose-6-phosphate aminotransferase [isomerizing]
CKJNFLKG_00075	CDS	1839				hypothetical protein
CKJNFLKG_00076	CDS	1437	clpX_1			ATP-dependent Clp protease ATP-binding subunit ClpX
CKJNFLKG_00077	CDS	369				hypothetical protein
CKJNFLKG_00078	CDS	1503	rho	3.6.4.-		Transcription termination factor Rho
CKJNFLKG_00079	CDS	204	rpmE		COG0254	50S ribosomal protein L31
CKJNFLKG_00080	CDS	1047				hypothetical protein
CKJNFLKG_00081	CDS	867	prmC	2.1.1.297		Release factor glutamine methyltransferase
CKJNFLKG_00082	CDS	1074	prfA		COG0216	Peptide chain release factor 1
CKJNFLKG_00083	CDS	381				hypothetical protein
CKJNFLKG_00084	CDS	411	kbaY	4.1.2.40		D-tagatose-1,6-bisphosphate aldolase subunit KbaY
CKJNFLKG_00085	CDS	921				hypothetical protein
CKJNFLKG_00086	CDS	1347	glmM	5.4.2.10	COG1109	Phosphoglucosamine mutase
CKJNFLKG_00087	CDS	1035				hypothetical protein
CKJNFLKG_00088	CDS	378	Int-Tn_1			Transposase from transposon Tn916
CKJNFLKG_00089	CDS	333				hypothetical protein
CKJNFLKG_00090	CDS	213				hypothetical protein
CKJNFLKG_00091	CDS	1839				hypothetical protein
CKJNFLKG_00092	CDS	315				hypothetical protein
CKJNFLKG_00093	CDS	1242	hflX		COG2262	GTPase HflX
CKJNFLKG_00094	CDS	234				hypothetical protein
CKJNFLKG_00095	CDS	2373	nrdD_1	1.1.98.6	COG1328	Anaerobic ribonucleoside-triphosphate reductase
CKJNFLKG_00096	CDS	174				hypothetical protein
CKJNFLKG_00097	CDS	1230	argG	6.3.4.5	COG0137	Argininosuccinate synthase
CKJNFLKG_00098	CDS	1041	argC	1.2.1.38	COG0002	N-acetyl-gamma-glutamyl-phosphate reductase
CKJNFLKG_00099	CDS	1224	argJ		COG1364	Arginine biosynthesis bifunctional protein ArgJ
CKJNFLKG_00100	CDS	897	argB	2.7.2.8	COG0548	Acetylglutamate kinase
CKJNFLKG_00101	CDS	1206	argD	2.6.1.11	COG4992	Acetylornithine aminotransferase
CKJNFLKG_00102	CDS	441				hypothetical protein
CKJNFLKG_00103	CDS	366	nagC_1		COG1940	N-acetylglucosamine repressor
CKJNFLKG_00104	CDS	264	gdh_1	1.1.1.16		Galactitol 2-dehydrogenase
CKJNFLKG_00105	CDS	645				hypothetical protein
CKJNFLKG_00106	CDS	171	fdxA			4Fe-4S ferredoxin FdxA
CKJNFLKG_00107	CDS	201				hypothetical protein
CKJNFLKG_00108	CDS	744	mecA			Adapter protein MecA
CKJNFLKG_00109	CDS	339				hypothetical protein
CKJNFLKG_00110	CDS	1719				hypothetical protein
CKJNFLKG_00111	CDS	771				hypothetical protein
CKJNFLKG_00112	CDS	2202				hypothetical protein
CKJNFLKG_00113	CDS	696				hypothetical protein
CKJNFLKG_00114	CDS	1092	ywlC	2.7.7.87	COG0009	Threonylcarbamoyl-AMP synthase
CKJNFLKG_00115	CDS	429	ywlF	5.3.1.-	COG0698	Putative sugar phosphate isomerase YwlF
CKJNFLKG_00116	CDS	630	upp	2.4.2.9		Uracil phosphoribosyltransferase
CKJNFLKG_00117	CDS	486				hypothetical protein
CKJNFLKG_00118	CDS	1440	proS_1	6.1.1.15	COG0442	Proline--tRNA ligase
CKJNFLKG_00119	CDS	1344	cca	2.7.7.72		CCA-adding enzyme
CKJNFLKG_00120	CDS	975				hypothetical protein
CKJNFLKG_00121	CDS	1737	pgcA_1	5.4.2.2		Phosphoglucomutase
CKJNFLKG_00122	CDS	276	hup			DNA-binding protein HU
CKJNFLKG_00123	CDS	240				hypothetical protein
CKJNFLKG_00124	CDS	288	yabP			Spore protein YabP
CKJNFLKG_00125	CDS	477				hypothetical protein
CKJNFLKG_00126	CDS	300				hypothetical protein
CKJNFLKG_00127	CDS	1488	spoIIE	3.1.3.16	COG2208	Stage II sporulation protein E
CKJNFLKG_00128	CDS	1344	tilS	6.3.4.19	COG0037	tRNA(Ile)-lysidine synthase
CKJNFLKG_00129	CDS	522	hpt	2.4.2.8	COG0634	Hypoxanthine phosphoribosyltransferase
CKJNFLKG_00130	CDS	1833	ftsH	3.4.24.-	COG0465	ATP-dependent zinc metalloprotease FtsH
CKJNFLKG_00131	CDS	801	tvaI_1	3.2.1.135		Neopullulanase 1
CKJNFLKG_00132	CDS	1329	tvaI_2	3.2.1.135		Neopullulanase 1
CKJNFLKG_00133	CDS	681	aes	3.1.1.-		Acetyl esterase
CKJNFLKG_00134	CDS	429	srrA_1		COG0745	Transcriptional regulatory protein SrrA
CKJNFLKG_00135	CDS	126				hypothetical protein
CKJNFLKG_00136	CDS	735				hypothetical protein
CKJNFLKG_00137	CDS	447				hypothetical protein
CKJNFLKG_00138	CDS	195				hypothetical protein
CKJNFLKG_00139	CDS	1290				hypothetical protein
CKJNFLKG_00140	CDS	756				hypothetical protein
CKJNFLKG_00141	CDS	954	drrA_1	3.6.3.-		Daunorubicin/doxorubicin resistance ATP-binding protein DrrA
CKJNFLKG_00142	CDS	456				hypothetical protein
CKJNFLKG_00143	CDS	867	rhaS_1			HTH-type transcriptional activator RhaS
CKJNFLKG_00144	CDS	510				hypothetical protein
CKJNFLKG_00145	CDS	177				hypothetical protein
CKJNFLKG_00146	tRNA	88				tRNA-Leu(taa)
CKJNFLKG_00147	tRNA	84				tRNA-Tyr(gta)
CKJNFLKG_00148	CDS	552	def_1	3.5.1.88		Peptide deformylase
CKJNFLKG_00149	CDS	195				hypothetical protein
CKJNFLKG_00150	CDS	2304				hypothetical protein
CKJNFLKG_00151	CDS	498	ilvH_1	2.2.1.6	COG0440	Acetolactate synthase isozyme 3 small subunit
CKJNFLKG_00152	CDS	1719	ilvB_1	2.2.1.6	COG0028	Acetolactate synthase large subunit
CKJNFLKG_00153	CDS	336	yjbR		COG2315	putative protein YjbR
CKJNFLKG_00154	CDS	540	rbr1_1	1.11.1.1	COG1592	Rubrerythrin-1
CKJNFLKG_00155	CDS	981	moaA_1	4.1.99.22		GTP 3',8-cyclase
CKJNFLKG_00156	CDS	435				hypothetical protein
CKJNFLKG_00157	CDS	1668	petC	7.1.1.6		Cytochrome b6-f complex iron-sulfur subunit
CKJNFLKG_00158	CDS	630	cmk_1	2.7.4.25		Cytidylate kinase
CKJNFLKG_00159	CDS	597	rbr1_2	1.11.1.1	COG1592	Rubrerythrin-1
CKJNFLKG_00160	CDS	504				hypothetical protein
CKJNFLKG_00161	CDS	543		2.3.1.-	COG1670	Acetyltransferase
CKJNFLKG_00162	CDS	654				hypothetical protein
CKJNFLKG_00163	CDS	873	map_1	3.4.11.18	COG0024	Methionine aminopeptidase
CKJNFLKG_00164	CDS	594				hypothetical protein
CKJNFLKG_00165	CDS	930				hypothetical protein
CKJNFLKG_00166	CDS	1200	rlmI	2.1.1.191	COG1092	Ribosomal RNA large subunit methyltransferase I
CKJNFLKG_00167	CDS	714				hypothetical protein
CKJNFLKG_00168	CDS	1179	purH		COG0138	Bifunctional purine biosynthesis protein PurH
